Kat-Nr,ort_lit,ort_name,x_long,y_lat
95,Wotzka 1995,Balinga-Bokanda,21.130587,-0.305301
97,Wotzka 1995,Enaja,21.248614,-0.264402
98,Wotzka 1995,Iyongo-Iyanko,21.26231,-0.311637
99,Wotzka 1995,Isambo-Elongo,21.483199,-0.365773
100,Wotzka 1995,Esangaonje,21.552149,-0.442536
101,Wotzka 1995,Wema,21.635839,-0.479714
102,Wotzka 1995,Nkoma,21.752442,-0.511961
103,Wotzka 1995,Balinga-Wema,21.785084,-0.527344
104,Wotzka 1995,Ifomo,21.885088,-0.565797
105,Wotzka 1995,Vieux-Wema,21.919131,-0.568587
106,Wotzka 1995,Balombi,22.010926,-0.544281
107,Wotzka 1995,Wete,22.266458,-0.598314
108,Wotzka 1995,Bokungu,22.307464,-0.616014
109,Wotzka 1995,Bokungu Moke,22.351465,-0.61843
110,Wotzka 1995,Bokene-Itela,22.534281,-0.73396
111,Wotzka 1995,Bokene-Nongo,22.563143,-0.732934
112,Wotzka 1995,Bondombe-Etat,22.754983,-0.779686
113,Wotzka 1995,Bondombe-Protestant,22.806301,-0.785994
114,Wotzka 1995,Bokao,22.88476,-0.859054
115,Wotzka 1995,Lolitama,23.205936,-1.008104
116,Wotzka 1995,Yalifita,23.277436,-1.034567
117,Wotzka 1995,Ikela,23.358848,-1.053764
118,Wotzka 1995,Lingomo,23.540128,-1.155073
119,Wotzka 1995,Ikomaloki,23.767789,-1.209968
120,Wotzka 1995,Boyombo,23.935279,-1.362244
121,Wotzka 1995,Bondo,24.086096,-1.349174
122,Wotzka 1995,Kwambili,18.348399,0.162385
123,Wotzka 1995,Bondo,18.342447,0.238661
124,Wotzka 1995,Malelembe,18.39671,0.248562
125,Wotzka 1995,Monzambi,18.536353,0.303572
126,Wotzka 1995,Ibunga,18.568067,0.299271
127,Wotzka 1995,Iteli,18.62434,0.311715
128,Wotzka 1995,Nganda Ikelemba,18.778887,0.320764
129,Wotzka 1995,Loomba,18.834717,0.332536
130,Wotzka 1995,Boyenge,18.878862,0.378587
131,Wotzka 1995,Lokumo,19.041374,0.351338
132,Wotzka 1995,Bolomba,19.228241,0.349073
134,Wotzka 1995,Ntomba,19.56405,0.407312
135,Wotzka 1995,Bombimba,19.590063,0.429998
136,Wotzka 1995,Balangala,19.788663,0.4187
137,Wotzka 1995,Isia,18.304065,0.263701
138,Wotzka 1995,Mobele,18.383749,0.637147
139,Wotzka 1995,Bolongo,18.514476,0.773259
140,Wotzka 1995,Ingonda Bosopela,18.549522,0.792926
141,Wotzka 1995,Mampoko,18.676144,0.864003
142,Wotzka 1995,Bonginda I,18.754714,0.957267
143,Wotzka 1995,Ilebo,18.79488,0.982023
144,Wotzka 1995,Inganda,18.854675,1.017651
145,Wotzka 1995,Nkole,18.861076,1.039209
146,Wotzka 1995,Boyeka,18.880184,1.040328
147,Wotzka 1995,Losombo,19.093138,1.107802
148,Wotzka 1995,Boso-Njafo-Plantation,19.190256,1.148303
150,Wotzka 1995,Boso-Njafo-Mission,19.261337,1.139743
151,Wotzka 1995,Bonkita,19.550204,1.269322
152,Wotzka 1995,Basankusu,19.802942,1.227045
153,Wotzka 1995,Molanga,20.012349,1.142068
154,Wotzka 1995,Botumbela,20.014264,1.149307
155,Wotzka 1995,Bonkelo,20.076949,1.09655
156,Wotzka 1995,Malanga,20.192645,1.017247
157,Wotzka 1995,Waka,20.211236,1.003458
158,Wotzka 1995,Ipono,20.224122,1.024446
159,Wotzka 1995,Ikaala,20.338919,0.97518
160,Wotzka 1995,Bompanga,20.472303,0.915503
162,Wotzka 1995,Baulu,20.931003,0.554939
163,Wotzka 1995,Bompanga-Nganda,20.970916,0.459559
164,Wotzka 1995,Bekako,21.165035,0.299678
165,Wotzka 1995,Likuku,21.301939,0.136734
166,Wotzka 1995,Ngongo,21.385648,0.118084
167,Wotzka 1995,Tokoto,21.397032,0.116191
168,Wotzka 1995,Nguma,21.423514,0.108218
169,Wotzka 1995,Lifoso,21.537251,0.149225
170,Wotzka 1995,Lokonge,21.831469,0.087605
171,Wotzka 1995,Tofumbo,22.006525,0.050859
172,Wotzka 1995,Mpokioko,22.065166,0.078294
173,Wotzka 1995,Lioko,22.10606,0.098642
174,Wotzka 1995,Befori,22.342902,0.165814
175,Wotzka 1995,Yopoko,22.400989,0.169623
176,Wotzka 1995,Eleke,19.851123,1.281146
176a,Wotzka 1995,Libiya,20.153246,1.313028
176b,Wotzka 1995,Manjinji,20.233979,1.334905
177,Wotzka 1995,Isanjani,20.232569,1.31586
178,Wotzka 1995,Boyela,20.341824,1.331587
179,Wotzka 1995,Jombo-Etat,20.384859,1.34994
180,Wotzka 1995,Bosulu,20.650364,1.446656
181,Wotzka 1995,Mokonja,20.677667,1.483026
182,Wotzka 1995,Inkunji,20.959728,1.503697
183,Wotzka 1995,Bongandanga,21.072951,1.50712
184,Wotzka 1995,Lisala,21.51668,2.150083
185,Wotzka 1995,Nkomba,21.594268,2.174369
216,DS,Zongo,18.595546,4.351783
280,DS,Ponga,15.63333,1.933333
273,DS,Sakao,16.145396,2.174978
274a,DS,Sangha Fkm 597,16.190159,2.224837
,Sonstige,Batalimo,18.455022,3.675942
,Sonstige,Bwambe-Beach,9.901455,2.898504
,Sonstige,Abeke,10.158333,5.925278
,Sonstige,Barombi-Mbo,9.401703,4.661158
,Sonstige,Benguie 7,11.384366,0.28824
,Sonstige,Bissiang,10.021249,2.997909
,Sonstige,Bwambe,9.905833,2.896667
,Sonstige,Cap Esterias,9.340556,0.577778
,Sonstige,Corisco,9.316667,0.916667
,Sonstige,Dibamba,9.8215,3.995833
,Sonstige,Dimba,14.866667,-5.283333
,Sonstige,Dombè,9.949644,2.964143
,Sonstige,Ebel Alembe 1,11.112578,0.133592
,Sonstige,Ebel Alembe 2,11.116125,0.133592
,Sonstige,Ebomé,9.906111,2.906667
,Sonstige,Eboundja 3,9.889444,2.788889
,Sonstige,Epona 1,11.140278,-0.090278
,Sonstige,Epona 2,11.146389,-0.1
,Sonstige,Fundong,10.283333,6.383333
,Sonstige,Gombe-Point,15.280791,-4.300597
,Sonstige,Issemeyo 4,11.3891,0.300172
,Sonstige,Issemeyo 7,11.398403,0.303883
,Sonstige,Kafele 2,10.12,0.1575
,Sonstige,Kango 5,10.0825,0.200833
,Sonstige,Kribi Hotel,9.904167,2.933333
,Sonstige,Lalala,9.476389,0.373611
,Sonstige,Lalara 1,11.436242,0.349261
