PG,PL,OBJ,SITE,FEATURE,OBJECT,STYLE,ShVesHPW,GefTyp,ShRimHPW,PL_muendD_mm,Pl_muendH_mm,Pl_minD_mm,Pl_minD_H_mm,Pl_maxD_mm,Pl_maxD_H_mm,Pl_BodenD_mm,Massstab5cm,NOTES
,25,2,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,25,3,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,4,NKI,1,/IV-2-(4),NKI,,,,,,,,,,,,
,25,5,NKI,1,-2-(4),NKI,,,,,,,,,,,,
,25,6,NKI,1,/IV-2-(4),NKI,,,,,,,,,,,,
,25,7,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,8,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,9,NKI,1,/IV-4,NKI,,,,,,,,,,,,
,25,10,NKI,1,-2-(4),NKI,,,,,,,,,,,,
,25,11,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,12,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,25,13,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,25,14,NKI,1,/III-2,NKI,,,,,,,,,,,,
,25,15,NKI,1,-2-(4),NKI,,,,,,,,,,,,
,25,16,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,26,1,NKI,1,/III-2-(4),NKI,,,,,,,,,,,,
,26,2,NKI,1,/IV-2,NKI,,,,,,,,,,,,
,26,3,NKI,1,/II-2-(4),BDG,,,,,,,,,,,,
,26,4,NKI,1,/II-2-(4),NKI,,,,,,,,,,,,
,26,5,NKI,1,/IV-3,BDG/NKI,,,,,,,,,,,,
,26,6,NKI,1,/IV-2-(4),BDG,,,,,,,,,,,,
,26,7,NKI,1,/III-2-(4),BDG,,,,,,,,,,,,
,26,8,NKI,1,/II-2-(4),BDG,,,,,,,,,,,,
,26,9,NKI,1,/III-2-(4),MBA,,,,,,,,,,,,
,26,10,NKI,1,/III-2-(4),BDG/MBA,,,,,,,,,,,,
,26,11,NKI,1,/II-2-(4),BDG,,,,,,,,,,,,
,26,12,NKI,1,/III-2-(4),MBA,,,,,,,,,,,,
,26,13,NKI,1,/IV-3,BDG/MBA,,,,,,,,,,,,
,26,14,NKI,1,-0+2-(4),BDG/MBA,,,,,,,,,,,,
,26,15,NKI,1,-2-(4),LON,,,,,,,,,,,,
,26,16,NKI,1,/III-2-(4),LON,,,,,,,,,,,,
,26,17,NKI,1,/IV-3,Monkoto,,,,,,,,,,,,
,26,18,NKI,1,-2+1 /III-2-(4),LON,,,,,,,,,,,,
,26,19,NKI,1,/III-2-(4),LON,,,,,,,,,,,,
,26,20,NKI,1,/III-3,Lokondola,,,,,,,,,,,,
,26,21,NKI,1,/III-3,Lokondola,,,,,,,,,,,,
,26,22,NKI,1,/IV-4,Lokondola,,,,,,,,,,,,
,27,1,NKI,1,/IV-4,Lokondola,,,,,,,,,,,,
,27,2,NKI,1,/III-2-(4),Lokondola,,,,,,,,,,,,
,27,3,NKI,1,/IV-3,Lokondola,,,,,,,,,,,,
,27,4,NKI,1,/IV-4,Lokondola,,,,,,,,,,,,
,27,5,NKI,1,/IV-3,Lokondola,,,,,,,,,,,,
,27,6,NKI,1,/IV-3,IMB,,,,,,,,,,,,
,27,7,NKI,1,/IV-3,IMB,,,,,,,,,,,,
,27,8,NKI,1,/IV-3,IMB,,,,,,,,,,,,
,27,9,NKI,1,/IV-3,IMB,,,,,,,,,,,,
,27,10,NKI,1,/IV-3+4,IMB,,,,,,,,,,,,
,27,11,NKI,1,-3,,,,,,,,,,,,,
,27,12,NKI,1,-2,,,,,,,,,,,,,
,28,1,NKI,2,-9,BOT,,,,,,,,,,,,
,28,2,NKI,2,-8,BOT,,,,,,,,,,,,
,28,3,NKI,2,-1,BOT,,,,,,,,,,,,
,28,4,NKI,2,-2+3,BOT,,,,,,,,,,,,
,28,5,NKI,2,-2,BOT,,,,,,,,,,,,
,28,6,NKI,2,-2,BOT,,,,,,,,,,,,
,28,7,NKI,2,-8,BOT,,,,,,,,,,,,
,28,8,NKI,2,-3,BOT,,,,,,,,,,,,
,28,9,NKI,2,-1,BOT,,,,,,,,,,,,
,28,10,NKI,2,-1,BOT,,,,,,,,,,,,
,28,11,NKI,2,-3,BOT,,,,,,,,,,,,
,28,12,NKI,2,-8+6-(4)+(5),BOT,,,,,,,,,,,,
,28,13,NKI,2,-6,BOT,,,,,,,,,,,,
,28,14,NKI,2,-1+6-(2),BOT,,,,,,,,,,,,
,29,1,NKI,2,-8,LON,,,,,,,,,,,,
,29,2,NKI,2,-5,LON,,,,,,,,,,,,
,29,3,NKI,2,-8,LON,,,,,,,,,,,,
,29,4,NKI,2,-2,Monkoto,,,,,,,,,,,,
,29,5,NKI,2,-6,LON,,,,,,,,,,,,
,29,6,NKI,2,-4,Monkoto,,,,,,,,,,,,
,29,7,NKI,2,-5,Monkoto,,,,,,,,,,,,
,29,8,NKI,2,-1,Monkoto,,,,,,,,,,,,
,29,9,NKI,2,-4,Monkoto,,,,,,,,,,,,
,29,10,NKI,2,-3,Monkoto,,,,,,,,,,,,
,29,11,NKI,2,-5,Lokondola,,,,,,,,,,,,
,29,12,NKI,2,-2,Lokondola,,,,,,,,,,,,
,29,13,NKI,2,-2,Lokondola,,,,,,,,,,,,
,29,14,NKI,2,-6,Lokondola,,,,,,,,,,,,
,29,15,NKI,2,-9,Lokondola,,,,,,,,,,,,
,29,16,NKI,2,-3+4,Bonkake,,,,,,,,,,,,
,29,17,NKI,3,-3,BOT,,,,,,,,,,,,
,29,18,NKI,3,-7+6-(3),BOT,,,,,,,,,,,,
,29,19,NKI,3,-1,BOT,,,,,,,,,,,,
,29,20,NKI,3,-1,BOT,,,,,,,,,,,,
,30,1,NKI,3,-4,BOT,,,,,,,,,,,,
,30,2,NKI,3,-1,BOT,,,,,,,,,,,,
,30,3,NKI,3,-2,BOT,,,,,,,,,,,,
,30,4,NKI,3,-5,Monkoto,,,,,,,,,,,,
,30,5,NKI,3,-7,BOT,,,,,,,,,,,,
,30,6,NKI,3,-5,Monkoto,,,,,,,,,,,,
,30,7,NKI,3,-1,BOK,,,,,,,,,,,,
,30,8,NKI,3,-1,Lingonda,,,,,,,,,,,,
,30,9,NKI,3,-1,Lokondola,,,,,,,,,,,,
,30,10,NKI,3,-5,Lokondola,,,,,,,,,,,,
,30,11,NKI,3,-1,Lokondola,,,,,,,,,,,,
,30,12,NKI,6,-(3),BOT,,,,,,,,,,,,
,30,13,NKI,6,-(5),BOT,,,,,,,,,,,,
,31,1,NKI,6,-(3),BOT,,,,,,,,,,,,
,31,2,NKI,6,-(5),BOT,,,,,,,,,,,,
,31,3,NKI,6,-(5),BOT,,,,,,,,,,,,
,31,4,NKI,6,-(3),BOT,,,,,,,,,,,,
,31,5,NKI,6,-(2),BOT,,,,,,,,,,,,
,31,6,NKI,6,-(0)+(4)+(5),BOT,,,,,,,,,,,,
,31,7,NKI,6,-(3),BOT,,,,,,,,,,,,
,31,8,NKI,6,-(3)+(4),BOT,,,,,,,,,,,,
,31,9,NKI,6,-(5),BOT,,,,,,,,,,,,
,31,10,NKI,6,-(6),BOT,,,,,,,,,,,,
,31,11,NKI,6,-(6),BOT,,,,,,,,,,,,
,31,12,NKI,6,-(5)+(6),BOT,,,,,,,,,,,,
,32,1,NKI,6,-(3),BOT,,,,,,,,,,,,
,32,2,NKI,6,-(4),BOT,,,,,,,,,,,,
,32,3,NKI,6,-(4),LON,,,,,,,,,,,,
,32,4,NKI,6,-(5),LON,,,,,,,,,,,,
,32,5,NKI,6,-(5),LON,,,,,,,,,,,,
,32,6,NKI,6,-(3),MON,,,,,,,,,,,,
,32,7,NKI,6,-(5),Lokondola,,,,,,,,,,,,
,32,8,NKI,6,-(3),Lokondola,,,,,,,,,,,,
,32,9,NKI,6,-(4),Lokondola,,,,,,,,,,,,
,32,10,NKI,2,-7-(5),BOT,,,,,,,,,,,,
,32,11,NKI,3,-3,,,,,,,,,,,,,
,32,12,NKI,2,-7-(5),BOT,,,,,,,,,,,,
,32,13,NKI,3,-7-(5),,,,,,,,,,,,,
,33,1,NKI,2,-4,BOT,,,,,,,,,,,,
,33,2,NKI,2,-7-(5),BOT,,,,,,,,,,,,
