Fluss,Nr,Name,Y,X,Bemerkung,Grabung,Anzahl Bef. (ausgegraben),Sequenztiefe,IMB,BON,IGD,ING,LOK,MON,LUS,YET,LNG,BOK,BKE,LON,MBA,BEK,BDG,BSG,WEM,WAF,NKI,MPO,BOS,MAL,BLD,BOT,IKK,"Ubangi-Ngiri-""Import""",BKN,LIK,BLM,LKG,NKB,IKE,ILB,YOP,LSL
Maringa,159,Ikaala,"0,97518","20,338919",,,,2,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
Maringa,160,Bompanga,"0,915503","20,472303",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Maringa,161,Baringa,"0,729053","20,735732",,x,1,7,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,x,,x,x,,,x,
Maringa,162,Baulu,"0,554939","20,931003",,,,4,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,,,,
Maringa,163,Bompanga (Nganda),"0,459559","20,970916",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Maringa,164,Bekako,"0,299678","21,165035",,,,3,,,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,
Maringa,165,Likuku,"0,136734","21,301939",,,,4,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,x,
Maringa,166,Ngongo,"0,118084","21,385648",,,,2,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
Maringa,167,Tokoto,"0,116191","21,397032",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,168,Nguma,"0,108218","21,423514",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maringa,169,Lifoso,"0,149225","21,537251",,,,3,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,
Maringa,170,Lokonge,"0,087605","21,831469",,,,7,,,,,,,,,,,,,,,x,,,,,x,,,,,,,x,x,,x,,,x,x,
Maringa,171,Tofumbo,"0,050859","22,006525",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Maringa,172,Mpokioko,"0,078294","22,065166",,,,2,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,
Maringa,173,Lioko,"0,098642","22,10606",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Maringa,174,Befori,"0,165814","22,342902",,,,3,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,
Maringa,175,Yopoko,"0,169623","22,400989",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Lopori,176,Eleke,"1,281146","19,851123",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,176a,Libiya,"1,313028","20,153246",,,,4,,,,x,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,
Lopori,176b,Manjinji,"1,334905","20,233979",,,,1,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Lopori,177,Isanjani,"1,31586","20,232569",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,178,Boyela,"1,331587","20,341824",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x
Lopori,179,Jombo-Etat,"1,34994","20,384859",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Lopori,180,Bosulu,"1,446656","20,650364",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Lopori,181,Mokonja,"1,483026","20,677667",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopori,182,Inkunji,"1,503697","20,959728",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Lopori,183,Bongandanga,"1,50712","21,072951",,,,1,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Zaïre,184,Lisala,"2,150083","21,51668",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Zaïre,185,Nkomba,"2,174369","21,594268",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x
